theta0 theta1 theta2 fc_t_min
0.0523599 -0.680678 0.0523599 1.18518
0.0523599 -0.680678 0.10472 1.08956
0.0523599 -0.680678 0.15708 1.094
0.0523599 -0.680678 0.20944 1.2207
0.0523599 -0.680678 0.261799 1.13624
0.0523599 -0.680678 0.314159 0.89414
0.0523599 -0.680678 0.366519 1.08411
0.0523599 -0.680678 0.418879 1.08376
0.0523599 -0.680678 0.471239 0.916487
0.0523599 -0.680678 0.523599 0.567202
0.0523599 -0.680678 0.575959 0.493859
0.0523599 -0.680678 0.628319 0.684038
0.0523599 -0.680678 0.680678 0.622089
0.0523599 -0.680678 0.733038 0.653031
0.0523599 -0.680678 0.785398 0.64037
0.0523599 -0.680678 0.837758 0
0.0523599 -0.680678 0.890118 0
0.0523599 -0.680678 0.942478 0
0.0523599 -0.680678 0.994838 0
0.0523599 -0.680678 1.0472 0
0.0523599 -0.733038 0 1.47963
0.0523599 -0.733038 0.0523599 1.1919
0.0523599 -0.733038 0.10472 1.09192
0.0523599 -0.733038 0.15708 1.02172
0.0523599 -0.733038 0.20944 1.23899
0.0523599 -0.733038 0.261799 1.14484
0.0523599 -0.733038 0.314159 1.22421
0.0523599 -0.733038 0.366519 0.943452
0.0523599 -0.733038 0.418879 1.10277
0.0523599 -0.733038 0.471239 0.726171
0.0523599 -0.733038 0.523599 0.467716
0.0523599 -0.733038 0.575959 0.531086
0.0523599 -0.733038 0.628319 0.6454
0.0523599 -0.733038 0.680678 0.451599
0.0523599 -0.733038 0.733038 0.571685
0.0523599 -0.733038 0.785398 0
0.0523599 -0.733038 0.837758 0
0.0523599 -0.733038 0.890118 0
0.0523599 -0.733038 0.942478 0
0.0523599 -0.733038 0.994838 0
0.0523599 -0.733038 1.0472 0
0.0523599 -0.785398 0 1.0801
0.0523599 -0.785398 0.0523599 1.42782
0.0523599 -0.785398 0.10472 1.13099
0.0523599 -0.785398 0.15708 0.950211
0.0523599 -0.785398 0.20944 1.01861
0.0523599 -0.785398 0.261799 1.05112
0.0523599 -0.785398 0.314159 1.15138
0.0523599 -0.785398 0.366519 0.789921
0.0523599 -0.785398 0.418879 1.01644
0.0523599 -0.785398 0.471239 0.590555
0.0523599 -0.785398 0.523599 0.65954
0.0523599 -0.785398 0.575959 0.540982
0.0523599 -0.785398 0.628319 0.358143
0.0523599 -0.785398 0.680678 0.243173
0.0523599 -0.785398 0.733038 0.0930946
0.0523599 -0.785398 0.785398 0
0.0523599 -0.785398 0.837758 0
0.0523599 -0.785398 0.890118 0
0.0523599 -0.785398 0.942478 0
